radius,numberIntersections,intersectionArea,meanIntersectionDiameter
Aug3f-apical,220.000000,7.000000,5.005441,0.945186
Aug3f-apical,240.000000,7.000000,2.204164,0.603794
Aug3f-apical,260.000000,8.000000,3.105838,0.674181
Aug3f-apical,280.000000,8.000000,2.146400,0.563067
Aug3f-apical,300.000000,6.000000,2.873529,0.701187
Aug3f-apical,320.000000,4.000000,1.192802,0.570912
Aug3f-apical,340.000000,3.000000,2.018066,0.920588
Aug3f-apical,360.000000,3.000000,0.992875,0.635659
Aug3f-apical,380.000000,3.000000,0.962156,0.638470
Aug3f-apical,400.000000,3.000000,2.366442,0.943236
Aug3f-apical,420.000000,5.000000,1.305191,0.561778
Aug3f-apical,440.000000,5.000000,2.017301,0.699823
Aug3f-apical,460.000000,5.000000,1.718363,0.626682
Aug3f-apical,480.000000,5.000000,1.628781,0.632377
Aug3f-apical,500.000000,6.000000,3.144149,0.785453
Aug3f-apical,520.000000,7.000000,2.161763,0.615818
Aug3f-apical,540.000000,7.000000,2.324313,0.585627
Aug3f-apical,560.000000,8.000000,2.095983,0.531311
Aug3f-apical,580.000000,8.000000,1.633661,0.483068
Aug3f-apical,600.000000,6.000000,1.518518,0.516425
Aug3f-apical,620.000000,4.000000,0.560871,0.404228
Aug3f-apical,640.000000,1.000000,0.558102,0.842970
Feb27n-apical,20.000000,1.000000,5.796799,2.716747
Feb27n-apical,40.000000,4.000000,8.341350,1.520544
Feb27n-apical,60.000000,8.000000,10.482830,1.149510
Feb27n-apical,80.000000,11.000000,18.615226,1.269378
Feb27n-apical,100.000000,14.000000,12.478632,0.954007
Feb27n-apical,120.000000,18.000000,14.346926,0.920652
Feb27n-apical,140.000000,17.000000,19.702405,1.032967
Feb27n-apical,160.000000,18.000000,19.302566,1.084232
Feb27n-apical,180.000000,16.000000,12.442873,0.946440
Feb27n-apical,200.000000,16.000000,17.619938,1.089484
Feb27n-apical,220.000000,15.000000,15.787959,1.085241
Feb27n-apical,240.000000,13.000000,11.534831,1.016656
Feb27n-apical,260.000000,15.000000,13.364744,0.987558
Feb27n-apical,280.000000,15.000000,16.143193,0.966283
Feb27n-apical,300.000000,16.000000,5.459827,0.589305
Feb27n-apical,320.000000,13.000000,4.461191,0.645582
Feb27n-apical,340.000000,10.000000,3.428607,0.635002
Feb27n-apical,360.000000,6.000000,3.451850,0.833763
Feb27n-apical,380.000000,4.000000,2.570857,0.878530
Feb27n-apical,400.000000,2.000000,2.695057,1.173863
Feb27n-apical,420.000000,2.000000,2.964837,1.362426
Feb27n-basal,20.000000,15.000000,22.415655,1.221261
Feb27n-basal,40.000000,24.000000,16.235622,0.877974
Feb27n-basal,60.000000,27.000000,18.472202,0.871888
Feb27n-basal,80.000000,25.000000,15.141706,0.838310
Feb27n-basal,100.000000,24.000000,14.622680,0.861176
Feb27n-basal,120.000000,24.000000,13.582583,0.803356
Feb27n-basal,140.000000,20.000000,10.627137,0.751115
Feb27n-basal,160.000000,16.000000,6.579631,0.615673
Feb27n-basal,180.000000,7.000000,3.667723,0.788266
Feb27n-basal,200.000000,1.000000,0.399753,0.713430
Dec15e-apical,20.000000,1.000000,9.920070,3.553959
Dec15e-apical,40.000000,2.000000,7.251410,2.080805
Dec15e-apical,60.000000,5.000000,4.806681,0.862921
Dec15e-apical,80.000000,9.000000,8.942586,0.846560
Dec15e-apical,100.000000,12.000000,6.611980,0.724127
Dec15e-apical,120.000000,14.000000,7.369141,0.675954
Dec15e-apical,140.000000,18.000000,4.472188,0.512365
Dec15e-apical,160.000000,19.000000,7.048433,0.590989
Dec15e-apical,180.000000,20.000000,6.357302,0.595359
Dec15e-apical,200.000000,19.000000,10.305242,0.717126
Dec15e-apical,220.000000,17.000000,7.364662,0.654634
Dec15e-apical,240.000000,19.000000,8.398592,0.704856
Dec15e-apical,260.000000,17.000000,6.796918,0.676694
Dec15e-apical,280.000000,16.000000,3.255703,0.476734
Dec15e-apical,300.000000,16.000000,4.537885,0.548363
Dec15e-apical,320.000000,16.000000,4.107818,0.527957
Dec15e-apical,340.000000,13.000000,6.514394,0.734768
Dec15e-apical,360.000000,7.000000,2.599812,0.611894
Dec15e-apical,380.000000,5.000000,1.257392,0.546665
Dec15e-apical,400.000000,3.000000,0.428463,0.425584
Dec15e-apical,420.000000,2.000000,0.556009,0.594717
Dec15e-apical,440.000000,1.000000,0.111210,0.376294
Dec15e-basal,20.000000,10.000000,11.460748,1.128029
Dec15e-basal,40.000000,28.000000,8.155588,0.566175
Dec15e-basal,60.000000,30.000000,8.118095,0.546119
Dec15e-basal,80.000000,27.000000,6.181894,0.501284
Dec15e-basal,100.000000,26.000000,4.369011,0.437879
Dec15e-basal,120.000000,23.000000,6.192798,0.527834
Dec15e-basal,140.000000,20.000000,3.642753,0.461815
Dec15e-basal,160.000000,15.000000,4.347055,0.565396
Dec15e-basal,180.000000,8.000000,1.731495,0.497013
Dec15e-basal,200.000000,3.000000,0.143605,0.246675
May31d-apical,20.000000,2.000000,7.097055,2.125582
May31d-apical,40.000000,4.000000,7.835311,1.484578
May31d-apical,60.000000,5.000000,9.160105,1.343457
May31d-apical,80.000000,9.000000,8.822903,0.913265
May31d-apical,100.000000,9.000000,9.016704,0.950592
May31d-apical,120.000000,11.000000,8.553093,0.832487
May31d-apical,140.000000,10.000000,7.033344,0.808051
May31d-apical,160.000000,10.000000,6.419710,0.774812
May31d-apical,180.000000,9.000000,4.684285,0.769117
May31d-apical,200.000000,9.000000,5.044180,0.815178
May31d-apical,220.000000,8.000000,4.499194,0.797764
