ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
54      37      20.260868       N/A     350.326691      138.153137      133.679977      0.403507        0.02    1.95133 mushroom        yes     37.091447       2117    0       351.170013      139.328995      134.774002      266.283661
55      10      7.633924        N/A     324.739258      225.598328      113.648102      0.409942        0.02    1.834622        mushroom        yes     -36.457778      571     0.034652        324.136383      223.824875      112.264198      160.993561
56      12      149.54274       N/A     443.934967      197.659012      135.528015      0.541914        0.02    1.830677        mushroom        yes     22.563628       837     0.43562 443.596344      195.870148      136.284515      297.495819
57      11      36.67181        N/A     330.301453      223.195801      111.300644      0.539764        0.02    1.838991        mushroom        yes     21.045236       578     0.327896        330.06366       221.261444      112.050529      167.898422
58      11      36.67181        N/A     341.655609      218.942886      111.697784      0.499519        0.02    1.87853 mushroom        yes     4.988534        595     0.185312        341.103302      216.945175      111.8787        180.458496
59      15      66.846718       N/A     424.174805      152.92424       136.386276      0.423111        N/A     1.899573        stubby  yes     62.669372       1131    0.228591        424.8172        153.706299      138.344559      300.462433
60      32      22.734785       N/A     456.286987      73.817642       128.609039      0.303506        0.02    1.870006        thin    yes     -4.364495       1981    0       457.937988      73.453102       128.479996      393.624176
61      15      66.846718       N/A     415.523041      167.365372      133.734436      0.418744        0.02    1.862007        mushroom        yes     27.267354       1104    0.5824  413.900635      166.846176      134.612427      281.520813
62      15      66.846718       N/A     423.199982      153.12912       137.561264      0.419937        0.380931        1.852075        mushroom        yes     25.655019       1131    0.73684 424.690125      153.914963      138.370407      299.660583
63      38      90.930717       N/A     379.185699      92.009163       141.59729       0.269733        N/A     1.915907        stubby  yes     62.526115       2219    0.316744        379.097748      93.016258       143.541428      330.543793
64      42      105.884048      N/A     355.236389      149.06044       135.513565      0.59476 N/A     1.725579        stubby  yes     68.671237       2352    0       355.772003      149.283997      137     256.110596
65      32      22.734785       N/A     458.300568      76.8741 128.389359      0.545263        0.02    1.780803        mushroom        yes     31.207185       1979    0.365888        457.45517       76.406258       128.974686      390.020996
66      21      169.817505      N/A     385.47113       190.44342       117.415047      0.714086        N/A     1.70092 stubby  yes     35.516815       1361    0.121623        385.507751      191.324127      118.044182      236.514297
67      22      25.255371       N/A     327.550354      215.383835      115.455429      0.807666        0.02    1.817223        mushroom        yes     -20.113088      1640    0.338392        329.245453      216.442596      114.723534      170.847351
68      38      90.930717       N/A     387.091064      74.572533       145.816757      0.687235        N/A     1.767361        stubby  yes     -47.545798      2243    0       388.053986      74.820099       144.729996      354.858978
69      6       95.085373       N/A     309.112915      232.830765      107.66011       0.354088        0.02    1.694409        mushroom        yes     -2.156971       260     0.617075        310.227356      234.3461        107.589264      142.670654
70      21      169.817505      N/A     379.833954      190.831909      117.833527      0.57725 0.02    1.800265        mushroom        yes     0.113213        1356    0       379.967529      192.606857      117.837044      230.692276
71      14      28.35688        N/A     379.630615      183.75856       125.112381      0.657083        0.02    1.809072        mushroom        yes     -29.463398      1030    0       380.966064      184.48436       124.253723      238.289917
